date,load,click,startup,createorder
20180101,2609045,2959116,516949,120084
20180102,2999731,3385299,528746,102575
20180103,3065321,3474995,526952,107199
20180104,3189350,3647679,537707,114435
20180105,3192267,3670577,528417,115942
20180106,2917303,3410496,477995,118615
20180107,2690176,3089788,455827,100122
20180108,3033771,3468582,490346,108340
20180109,3094085,3593187,476406,111977
20180110,3174496,3712917,481685,116561
20180111,3289076,3895929,486664,118093
20180112,3372796,3993519,502918,124220
20180113,3158171,3773014,473864,124578
20180114,2825177,3291238,431458,105745
20180115,3235422,3745747,481193,113298
20180116,3413916,4016459,496325,119541
20180117,3481295,4126790,506699,120963
20180118,3480641,4185105,491660,121189
20180119,3437922,4158425,482343,125174
20180120,3255810,4011419,447372,125518
20180121,3007970,3624604,429361,108785
20180122,3318761,4006742,464390,116529
20180123,3431621,4149051,470524,120296
20180124,3413991,4112290,485277,120262
20180125,3442714,4188759,489417,123355
20180126,3279417,4008945,467253,123878
20180127,3123837,3893884,438424,126350
20180128,2853496,3478273,416629,112171
20180129,3082867,3720075,437209,116868
20180130,3150443,3832291,438181,120909
20180131,3223006,3784651,436702,123212
20180201,3536362,3949870,455140,123020
20180202,3556632,3845374,442022,126142
20180203,3863836,3774714,428126,128926
20180204,4310699,3470549,405666,119472
20180205,4835241,3674442,447525,125874
20180206,5058792,3750349,450299,127851
20180207,5127829,3762891,433419,125641
20180208,5020223,3748769,431194,111870
20180209,5182135,3912405,466402,111838
20180210,5112258,3883107,432524,109848
20180211,5081810,4000399,424982,108125
20180212,4890851,3842140,416655,102051
20180213,4857285,3961714,405063,97591
20180214,4727510,3889879,385306,85302
20180215,4098792,3425891,356059,59767
20180216,6427428,5931775,471544,90744
20180217,8531168,7873816,548365,129654
20180218,10107488,8637675,588440,156360
20180219,9792591,7574889,573726,161658
20180220,8426548,6022415,522673,158930
20180221,7500388,4880728,480905,151856
20180222,7108242,4594521,483576,144603
20180223,6458181,4295342,459789,144017
20180224,6156155,3997050,431782,141569
20180225,5427802,3351163,375619,130242
20180226,5517021,3621013,399929,137890
20180227,5514699,3703553,398390,139050
20180228,5355469,3679570,396989,138284
20180301,5449601,3730667,398090,134807
20180302,5255119,3573098,393537,135063
20180303,5843925,3657185,382192,156800
20180304,5153635,3150616,352218,128847
20180305,5554977,3760457,394719,136762
20180306,5801727,4052159,405272,141907
20180307,6015111,4250494,399806,143290
